RefDes,Type,Y (mm),X (mm),Side,Rotate,Value,Feeder,Code
C1,CAP,28.1,17.66,Top,0,100nf,3,5
C2,CAP,28.1,8.14,Top,0,100nf,3,5
C3,CAP,28.65,15.44,Top,0,10uF Tantalum,2,6
C4,CAP,28.65,10.36,Top,0,10uF Tantalum,2,6
R1,RES,9.31,26.83,Top,0,10K,4,2
R2,RES,9.31,23.5,Top,0,10K,4,2
R3,RES,9.31,20.16,Top,0,10K,4,2
R4,RES,9.31,16.67,Top,0,10K,4,2
R5,RES,9.31,13.18,Top,0,10K,4,2
R6,RES,9.31,9.68,Top,0,10K,4,2
R7,RES,9.31,6.35,Top,0,10K,4,2
R8,RES,9.31,3.02,Top,0,10K,4,2
R13,RES,12.8,26.83,Top,0,6.8K,5,1
R14,RES,12.8,23.5,Top,0,6.8K,5,1
R15,RES,12.8,20.16,Top,0,6.8K,5,1
R16,RES,12.8,16.67,Top,0,6.8K,5,1
R17,RES,12.8,13.18,Top,0,6.8K,5,1
R18,RES,12.8,9.68,Top,0,6.8K,5,1
R19,RES,12.8,6.35,Top,0,6.8K,5,1
R20,RES,12.8,3.02,Top,0,6.8K,5,1
R21,CAY16-100J4LF,13.56,31.9,Top,90,10K x 4,7,3
U7,FDC6301N,9.39,32.72,Top,0,Dual Mosfet,1,7
U2,MCP3424,20.64,11.36,Top,0,MCP3428,24,100
U3,MCP3424,20.64,21.1,Top,0,MCP3428,24,100
