RefDes,Type,Y (mm),X (mm),Side,Rotate,Value,Feeder,Code
U2,FDC6301N,5.54,7.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,8.71,7.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,1.98,7.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,11.82,7.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,5.54,23.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,8.71,23.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,1.98,23.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,11.82,23.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,5.54,38.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,8.71,38.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,1.98,38.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,11.82,38.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,5.54,54.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,8.71,54.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,1.98,54.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,11.82,54.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,5.54,69.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,8.71,69.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,1.98,69.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,11.82,69.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,19.14,7.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,22.31,7.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,15.58,7.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,25.42,7.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,19.14,23.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,22.31,23.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,15.58,23.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,25.42,23.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,19.14,38.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,22.31,38.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,15.58,38.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,25.42,38.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,19.14,54.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,22.31,54.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,15.58,54.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,25.42,54.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,19.14,69.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,22.31,69.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,15.58,69.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,25.42,69.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,32.74,7.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,35.91,7.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,29.18,7.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,39.02,7.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,32.74,23.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,35.91,23.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,29.18,23.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,39.02,23.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,32.74,38.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,35.91,38.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,29.18,38.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,39.02,38.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,32.74,54.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,35.91,54.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,29.18,54.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,39.02,54.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,32.74,69.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,35.91,69.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,29.18,69.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,39.02,69.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,46.34,7.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,49.51,7.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,42.78,7.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,52.62,7.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,46.34,23.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,49.51,23.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,42.78,23.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,52.62,23.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,46.34,38.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,49.51,38.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,42.78,38.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,52.62,38.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,46.34,54.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,49.51,54.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,42.78,54.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,52.62,54.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,46.34,69.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,49.51,69.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,42.78,69.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,52.62,69.99,Top,0,2K2 x 4,8,3
