RefDes,Type,X (mm),Y (mm),Side,Rotate,Value,Feeder,Code
C1,CAP,18.42,22.91,Top,90,100nF,3,5
C2,CAP,18.62,26.79,Top,90,100nF,3,5
C3,CAP,25.4,21.43,Top,0,100nF,3,5
C4,CAP,31.9,27,Top,90,100nF,3,5
C5,CAP,20.91,32.07,Top,0,100nF,3,5
U5,MAX3232EID,25,26.83,Top,0,MAX3232EID,23,103
C1,CAP,53.22,22.91,Top,90,100nF,3,5
C2,CAP,53.42,26.79,Top,90,100nF,3,5
C3,CAP,60.2,21.43,Top,0,100nF,3,5
C4,CAP,66.7,27,Top,90,100nF,3,5
C5,CAP,55.71,32.07,Top,0,100nF,3,5
U5,MAX3232EID,59.8,26.83,Top,0,MAX3232EID,23,103
C1,CAP,88.02,22.91,Top,90,100nF,3,5
C2,CAP,88.22,26.79,Top,90,100nF,3,5
C3,CAP,95,21.43,Top,0,100nF,3,5
C4,CAP,101.5,27,Top,90,100nF,3,5
C5,CAP,90.50999,32.07,Top,0,100nF,3,5
U5,MAX3232EID,94.6,26.83,Top,0,MAX3232EID,23,103
C1,CAP,18.42,63.91,Top,90,100nF,3,5
C2,CAP,18.62,67.79,Top,90,100nF,3,5
C3,CAP,25.4,62.43,Top,0,100nF,3,5
C4,CAP,31.9,68,Top,90,100nF,3,5
C5,CAP,20.91,73.07,Top,0,100nF,3,5
U5,MAX3232EID,25,67.83,Top,0,MAX3232EID,23,103
C1,CAP,53.22,63.91,Top,90,100nF,3,5
C2,CAP,53.42,67.79,Top,90,100nF,3,5
C3,CAP,60.2,62.43,Top,0,100nF,3,5
C4,CAP,66.7,68,Top,90,100nF,3,5
C5,CAP,55.71,73.07,Top,0,100nF,3,5
U5,MAX3232EID,59.8,67.83,Top,0,MAX3232EID,23,103
C1,CAP,88.02,63.91,Top,90,100nF,3,5
C2,CAP,88.22,67.79,Top,90,100nF,3,5
C3,CAP,95,62.43,Top,0,100nF,3,5
C4,CAP,101.5,68,Top,90,100nF,3,5
C5,CAP,90.50999,73.07,Top,0,100nF,3,5
U5,MAX3232EID,94.6,67.83,Top,0,MAX3232EID,23,103
